gem_unit_id,scenario,dimension,variant,parameter,ti_lifetime_tco2,ti_remaining_tco2
G100000405056,S2,lifetime,high,40,-365598.953,860325.941
G100000405056,S2,capacity_factor,central,0.3313,-1182130.947,43793.947
G100000405056,S2,capacity_factor,low,0.3242,-1156797.021,42855.411
G100000405056,S2,capacity_factor,high,0.3969,-1416202.152,52465.493
G100000405056,S2,efficiency,central,0.38,-1182130.947,43793.947
G100000405056,S2,efficiency,low,0.353,-717070.277,61018.417
G100000405056,S2,efficiency,high,0.407,-1585494.981,28854.539
G100000405056,S2,emission_factor,central,56100.0,-1182130.947,43793.947
G100000405056,S2,emission_factor,low,54300.0,-1377214.107,36568.645
G100000405056,S2,emission_factor,high,58300.0,-943681.486,52625.409
G100000405057,S1,lifetime,central,30,-1182130.947,43793.947
G100000405057,S1,lifetime,low,25,-1297417.085,0
G100000405057,S1,lifetime,high,40,-365598.953,860325.941
G100000405057,S1,capacity_factor,central,0.3313,-1182130.947,43793.947
G100000405057,S1,capacity_factor,low,0.3242,-1156797.021,42855.411
G100000405057,S1,capacity_factor,high,0.3969,-1416202.152,52465.493
G100000405057,S1,efficiency,central,0.38,-1182130.947,43793.947
G100000405057,S1,efficiency,low,0.353,-717070.277,61018.417
