market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
US,hyundai,2025,S3,6,2031,886894,-1229572.8426
US,hyundai,2025,S3,7,2032,886894,-1407808.0806
US,hyundai,2025,S3,8,2033,886894,-1568608.1984
US,hyundai,2025,S3,9,2034,886894,-1713635.2736
US,hyundai,2025,S3,10,2035,886894,-1844401.6169
US,hyundai,2025,S3,11,2036,886894,-1962281.4902
US,hyundai,2025,S3,12,2037,886894,-2068522.2898
US,kia,2024,S1,0,2024,780309,257970.3614
US,kia,2024,S1,1,2025,780309,226903.9531
US,kia,2024,S1,2,2026,780309,196137.1817
US,kia,2024,S1,3,2027,780309,165668.0279
US,kia,2024,S1,4,2028,780309,135494.4551
US,kia,2024,S1,5,2029,780309,105614.4138
US,kia,2024,S1,6,2030,780309,76025.8381
US,kia,2024,S1,7,2031,780309,46726.6549
US,kia,2024,S1,8,2032,780309,17714.7766
US,kia,2024,S1,9,2033,780309,-11011.8924
US,kia,2024,S1,10,2034,780309,-39455.4556
US,kia,2024,S1,11,2035,780309,-67618.0265
US,kia,2024,S1,12,2036,780309,-95501.7213
US,kia,2024,S3,0,2024,780309,257970.3614
US,kia,2024,S3,1,2025,780309,-29443.9737
US,kia,2024,S3,2,2026,780309,-289549.8559
US,kia,2024,S3,3,2027,780309,-524789.4371
US,kia,2024,S3,4,2028,780309,-737417.8453
US,kia,2024,S3,5,2029,780309,-929510.6489
US,kia,2024,S3,6,2030,780309,-1102972.7778
US,kia,2024,S3,7,2031,780309,-1259548.3184
US,kia,2024,S3,8,2032,780309,-1400830.7521
US,kia,2024,S3,9,2033,780309,-1528273.3167
US,kia,2024,S3,10,2034,780309,-1643199.2529
US,kia,2024,S3,11,2035,780309,-1746811.7696
US,kia,2024,S3,12,2036,780309,-1840203.6049
US,kia,2025,S1,0,2025,836571,197534.1946
US,kia,2025,S1,1,2026,836571,163378.4386
US,kia,2025,S1,2,2027,836571,129568.7865
US,kia,2025,S1,3,2028,836571,96102.3453
US,kia,2025,S1,4,2029,836571,62976.2255
US,kia,2025,S1,5,2030,836571,30187.5437
US,kia,2025,S1,6,2031,836571,-2266.5803
US,kia,2025,S1,7,2032,836571,-34389.0154
US,kia,2025,S1,8,2033,836571,-66182.6271
